Longitude,Latitude,vin cnt
-84.2185915,34.1295345,7
-84.2164261,33.7386097,647
-84.2153846,33.8529836,10
-84.2123583,33.8539933,9
-84.211123,33.5413129,6
-84.2107348,33.8016326,1380
-84.2053579,34.2397804,2
-84.2040878,33.9438617,295
-84.2001608,33.9474124,344
-84.197433,34.240672,125
-84.1973271,33.848377,152
-84.1947725,33.953185,2682
-84.193126,33.8314032,3
-84.1930162,33.8579013,175
-84.1929803,34.2396981,80
-84.1893912,33.4299152,949
-84.1882655,33.8065698,122
-84.1880544,33.4293495,68
-84.1862882,33.4295606,5
-84.1862537,33.4296507,1497
-84.182305,33.97452,41
-84.1787036,33.4238874,1532
-84.178147,33.9670401,205
-84.1775338,34.0483489,186
-84.1774308,33.9672608,374
-84.1737868,34.1437479,643
-84.1720621,34.1434919,187
-84.1720114,34.2363238,173
-84.1710076,33.9327112,11684
-84.170824,33.970564,241
-84.1698599,33.4195411,469
-84.1692278,33.4190488,2
-84.1665518,33.9734027,275
-84.1639603,34.1670398,730
-84.1624848,34.0211044,180
-84.1622827,33.4146165,49
-84.1621264,34.0219528,28
-84.1598483,33.9420242,7
-84.1594634,34.0194009,623
-84.1578777,34.0192802,169
-84.1556544,33.9833316,354
-84.1535208,33.0364561,71
-84.1533601,33.4180439,158
-84.1521616,33.9929736,56
-84.1482201,34.1812332,1252
-84.1462769,33.8887523,1373
-84.1460992,33.9675947,1299
-84.144638,34.212181,82
-84.1445306,33.9669346,368
-84.1437471,33.9662083,1002
-84.1428365,33.9678672,2589
-84.1428149,33.8912311,22
-84.1420585,33.4493051,60
-84.1402446,33.9628685,2782
-84.1369672,34.2052757,143
-84.1363754,34.194473,572
-84.1352584,34.1925656,100
-84.1348415,34.1918115,54
-84.133846,34.2109158,11
-84.1331552,33.9608664,1049
-84.1312372,33.9665008,709
-84.1310662,33.7164172,2
-84.1307579,33.9648763,665
-84.1292663,33.9653151,1286
-84.1289761,33.8998751,906
-84.1281846,33.9657017,917
-84.1271533,34.1759468,851
-84.1243591,33.9651444,1904
-84.1236944,34.1697886,813
-84.123544,33.9042606,387
-84.1220978,33.9645938,1787
-84.1202559,33.9615649,1442
-84.119323,33.959095,3190
-84.1182889,33.9597063,948
-84.1165159,33.9608473,686
-84.1161511,33.9608691,1280
-84.116133,33.90331,286
-84.1144664,33.9614715,1122
-84.1111505,34.1592026,1572
-84.1110621,33.7191865,1
-84.1107321,33.9630494,92
-84.1107218,33.9630322,273
-84.1096099,33.9634619,915
-84.1066201,33.9651439,451
-84.1065782,33.823757,586
-84.1057965,33.6977327,395
-84.103907,33.696267,471
-84.1036682,33.8254197,971
-84.1026445,33.8241892,426
-84.1010619,33.6948551,1200
-84.0992119,33.9773076,22
-84.097219,33.338496,133
-84.0939655,33.9654258,1105
-84.0899784,33.733857,49
-84.085075,34.26296,17
-84.082988,33.8346703,24
-84.082443,33.8333692,2162
-84.0814233,33.8353908,123
-84.0778465,33.8361024,226
-84.0752297,34.0660727,24
-84.0740963,33.9682163,83
-84.073133,33.968207,4
-84.0686167,34.2537033,508
-84.0640926,34.0632595,2
-84.061719,33.841126,624
-84.0583995,33.9276899,135
-84.057159,33.927748,212
-84.0562198,33.8449,1
-84.0554697,33.8450216,72
-84.0553169,33.6789368,14
-84.0545911,34.3416473,16
-84.054374,33.673144,1017
-84.0539887,34.3414149,169
-84.053601,33.8458685,431
-84.053189,33.8446903,591
-84.0529922,33.6727474,150
-84.0528159,33.9275617,1
-84.0513487,34.3471541,1366
-84.0501735,33.8473893,29
-84.0501114,33.8463776,810
